TimeStep,PositionY_Fast,VelocityY_Fast,AccelerationY_Fast,PositionY_Normal,VelocityY_Normal,AccelerationY_Normal,PositionY_Slow,VelocityY_Slow,AccelerationY_Slow
0,0.0,-20.0,1.2533339999999988,0.0,-20.0,1.2533339999999988,0.0,-20.0,1.2533339999999988
1,-0.31244443333333344,-18.746666,1.2533341,-0.31244443333333344,-18.746666,1.2533341,-0.31244443333333344,-18.746666,1.2533341
2,-0.6039999650000001,-17.4933319,1.2533340000000024,-0.6039999650000001,-17.4933319,1.2533340000000024,-0.6039999650000001,-17.4933319,1.2533340000000024
3,-0.8746665966666669,-16.2399979,1.253333099999999,-0.8746665966666669,-16.2399979,1.253333099999999,-0.8746665966666669,-16.2399979,1.253333099999999
4,-1.1244443433333335,-14.9866648,1.2533321999999991,-1.1244443433333335,-14.9866648,1.2533321999999991,-1.1244443433333335,-14.9866648,1.2533321999999991
5,-1.3533332200000001,-13.7333326,1.2533326000000002,-1.3533332200000001,-13.7333326,1.2533326000000002,-1.3533332200000001,-13.7333326,1.2533326000000002
6,-1.5613332200000003,-12.48,1.2533335,-1.5613332200000003,-12.48,1.2533335,-1.5613332200000003,-12.48,1.2533335
7,-1.7484443283333333,-11.2266665,0.22666650000000033,-1.7484443283333333,-11.2266665,1.2533335,-1.7484443283333333,-11.2266665,1.2533335
8,-1.9317776616666669,-11.0,0.0,-1.914666545,-9.973333,1.2533329999999996,-1.914666545,-9.973333,1.2533329999999996
9,-2.1151109949999998,-11.0,0.0,-2.059999878333333,-8.72,1.2533330000000005,-2.059999878333333,-8.72,1.2533330000000005
10,-2.2984443283333333,-11.0,0.0,-2.184444328333333,-7.466667,0.46666700000000017,-2.184444328333333,-7.466667,1.2533330000000005
11,-2.4817776616666665,-11.0,0.0,-2.3011109949999997,-7.0,0.0,-2.287999895,-6.213334,1.2533329999999996
12,-2.665110995,-11.0,0.0,-2.4177776616666664,-7.0,0.0,-2.370666578333333,-4.960001,1.2533333400000002
13,-2.848444328333333,-11.0,0.0,-2.534444328333333,-7.0,0.0,-2.4324443726666667,-3.70666766,1.25333309
14,-3.0317776616666667,-11.0,0.0,-2.651110995,-7.0,0.0,-2.4733332821666667,-2.45333457,0.45333457
15,-3.215110995,-11.0,0.0,-2.7677776616666665,-7.0,0.0,-2.5066666155,-2.0,0.0
16,-3.3984443283333334,-11.0,0.0,-2.884444328333333,-7.0,0.0,-2.5399999488333336,-2.0,0.0
17,-3.5817776616666666,-11.0,0.0,-3.001110995,-7.0,0.0,-2.573333282166667,-2.0,0.0
18,-3.765110995,-11.0,0.0,-3.1177776616666666,-7.0,0.0,-2.6066666155,-2.0,0.0
19,-3.948444328333333,-11.0,0.0,-3.2344443283333333,-7.0,0.0,-2.639999948833333,-2.0,0.0
20,-4.131777661666667,-11.0,0.0,-3.351110995,-7.0,0.0,-2.673333282166667,-2.0,0.0
